Speed,Viscosity,Flowrate,Head
3500.0,25.0,862.047,63.579
2400.0,250.0,784.552,24.8884
3000.0,130.0,1989.023,34.8748
2400.0,250.0,1755.723,18.5346
1800.0,520.0,375.916,12.7818
3500.0,105.0,2933.356,42.8537
2400.0,107.0,2078.657,18.6429
1800.0,90.0,1571.398,10.254
1800.0,130.0,772.259,13.6656
1800.0,90.0,385.985,15.6322
2400.0,105.0,1290.952,24.5591
3500.0,170.0,2667.388,43.7433
3000.0,120.0,2397.694,31.9612
1800.0,250.0,1182.071,10.7719
2400.0,130.0,624.85,27.4071
1800.0,120.0,844.845,13.6345
3000.0,90.0,2453.388,31.8019
3000.0,130.0,2549.931,30.2381
3000.0,120.0,874.129,43.2101
1800.0,520.0,1997.004,4.8104
3500.0,107.0,3526.462,35.9182
1800.0,520.0,1505.246,7.4556
2400.0,240.0,631.697,25.9077
1800.0,520.0,2001.958,4.739
1800.0,240.0,1196.69,10.3087
1800.0,240.0,663.732,13.2092
3500.0,25.0,1828.86,58.2558
2400.0,240.0,2067.461,16.7532
1800.0,63.0,1352.591,12.1635
3500.0,120.0,1156.463,59.2161
2400.0,250.0,679.327,25.4628
2400.0,105.0,1631.628,21.7985
2400.0,380.0,568.962,24.8662
1800.0,250.0,1880.102,6.7416
3000.0,25.0,1565.965,42.2094
1800.0,105.0,1008.335,13.1956
3000.0,170.0,2697.664,27.5428
2400.0,520.0,2146.069,13.531
2400.0,130.0,2533.42,14.593
3000.0,380.0,2268.614,27.7372
3500.0,130.0,1792.444,52.6163
3500.0,25.0,849.768,62.5975
3000.0,520.0,2777.784,20.988
3500.0,380.0,1377.922,50.2519
3500.0,520.0,2388.234,38.6304
2400.0,250.0,2110.161,16.2424
3500.0,63.0,3002.32,44.7884
3500.0,520.0,766.371,53.4277
2400.0,25.0,1175.275,26.6585
3000.0,520.0,2012.642,28.6087
3000.0,85.0,3349.628,23.185
1800.0,63.0,1301.962,12.1461
2400.0,120.0,2469.315,15.4399
3000.0,520.0,1519.374,32.0171
1800.0,170.0,975.175,12.4203
3500.0,120.0,1594.377,56.4845
1800.0,120.0,1162.81,12.4645
1800.0,107.0,1110.128,12.7149
1800.0,120.0,1152.061,12.0937
3500.0,250.0,1558.547,51.891
3000.0,120.0,673.116,43.8647
3500.0,90.0,3070.071,41.3217
3500.0,250.0,1675.086,51.2159
3000.0,130.0,1803.246,36.8293
2400.0,85.0,804.999,27.3945
2400.0,250.0,2114.601,15.8626
1800.0,130.0,730.666,13.9086
3500.0,90.0,830.189,61.8731
2400.0,130.0,2542.845,14.4384
3000.0,250.0,3159.904,21.2858
2400.0,25.0,2506.667,17.7784
2400.0,120.0,1167.774,24.9469
1800.0,105.0,1217.272,11.9196
3500.0,120.0,1884.274,52.5642
3500.0,170.0,3492.441,33.963
3500.0,240.0,797.504,57.3941
3500.0,250.0,3885.561,27.4501
2400.0,90.0,1723.416,21.7861
3000.0,240.0,2743.814,25.2536
1800.0,520.0,467.512,12.6493
2400.0,120.0,1639.927,21.8766
1800.0,63.0,692.559,15.2062
3000.0,380.0,1239.37,36.4295
3500.0,380.0,1202.962,52.2422
1800.0,120.0,1650.443,9.403
3000.0,520.0,1013.051,36.1456
2400.0,90.0,1162.091,25.7594
3500.0,105.0,2800.355,44.1633
3500.0,25.0,982.233,62.6365
3000.0,520.0,3113.333,17.6929
1800.0,240.0,1941.847,6.4229
1800.0,250.0,860.534,12.349
3500.0,380.0,2423.513,41.0559
2400.0,520.0,1589.227,17.4951
3000.0,85.0,2565.604,31.2695
3000.0,63.0,2728.136,30.7955
3500.0,107.0,1873.847,53.6138
3000.0,85.0,3352.315,22.7018
1800.0,107.0,579.919,15.1425
1800.0,85.0,1953.503,8.0095
1800.0,63.0,478.816,15.7768
3000.0,25.0,1869.709,40.6143
3000.0,107.0,1132.287,41.7658
1800.0,130.0,1547.079,9.8345
3000.0,380.0,2612.56,24.1407
2400.0,240.0,2632.427,12.0414
3000.0,250.0,1257.674,37.4658
2400.0,240.0,2532.134,12.9338
2400.0,63.0,1199.635,25.6189
2400.0,85.0,645.163,28.1835
2400.0,85.0,832.128,27.2477
3500.0,105.0,1609.702,55.8983
3500.0,250.0,1447.641,52.8075
3000.0,380.0,855.0,38.9534
1800.0,170.0,1438.826,9.7768
3000.0,380.0,2082.726,28.9475
1800.0,105.0,825.095,13.7857
1800.0,250.0,1675.483,7.9409
2400.0,90.0,1779.778,21.2843
2400.0,90.0,985.941,26.2738
3500.0,90.0,2376.727,50.5577
1800.0,520.0,1738.397,6.069
2400.0,85.0,2374.679,17.1221
3500.0,170.0,2326.308,46.8022
3000.0,120.0,1408.171,39.7197
2400.0,107.0,998.25,25.8177
3500.0,240.0,3227.891,35.6246
3500.0,63.0,1856.727,55.8047
2400.0,105.0,2297.965,17.1623
3500.0,380.0,1539.461,49.1199
3500.0,120.0,985.766,59.637
3000.0,107.0,1701.183,38.8015
2400.0,105.0,1865.053,20.2506
1800.0,105.0,521.501,15.0455
3500.0,170.0,2159.045,48.1746
3000.0,63.0,3323.826,24.2752
1800.0,520.0,1629.886,6.7538
2400.0,520.0,1282.227,19.5943
3000.0,63.0,3167.804,25.5788
2400.0,107.0,1098.476,25.6524
3000.0,240.0,1034.794,40.2931
2400.0,240.0,1026.711,23.8257
2400.0,85.0,651.074,27.4314
3000.0,63.0,805.673,45.4608
1800.0,130.0,1821.88,8.1887
3000.0,107.0,2230.85,33.1723
1800.0,85.0,1951.323,8.0737
1800.0,380.0,1410.281,8.4999
3500.0,63.0,1644.948,57.3315
3500.0,170.0,3712.958,31.7617
3500.0,380.0,2218.654,43.2306
2400.0,63.0,1943.707,20.9993
3500.0,250.0,1162.603,55.4211
3000.0,90.0,1974.088,35.9782
3500.0,90.0,2565.463,48.3478
1800.0,90.0,668.215,14.8277
3500.0,120.0,840.569,59.9792
3500.0,240.0,1584.586,51.9605
1800.0,380.0,1122.898,10.1752
2400.0,170.0,2409.967,14.8589
3000.0,130.0,2779.008,27.7271
1800.0,107.0,978.436,13.5433
3000.0,105.0,2600.844,30.2482
2400.0,520.0,2044.502,14.0025
3000.0,520.0,3124.94,17.9042
1800.0,130.0,1916.412,7.6772
3500.0,90.0,2041.015,51.9421
3000.0,120.0,2801.671,27.405
3000.0,380.0,1495.879,33.9632
1800.0,107.0,1829.26,8.579
3000.0,120.0,2500.046,30.7643
1800.0,25.0,1546.018,12.0296
2400.0,105.0,2193.546,17.8314
1800.0,25.0,711.144,15.7863
3000.0,120.0,1995.346,35.1345
3500.0,380.0,1926.624,46.1279
3500.0,25.0,997.184,63.4422
2400.0,520.0,557.552,23.8768
3500.0,250.0,2177.67,46.8351
2400.0,105.0,1370.065,24.1636
2400.0,380.0,788.418,23.5472
3000.0,107.0,2779.231,28.239
3000.0,240.0,2810.549,24.7403
2400.0,250.0,2662.874,11.6514
3500.0,170.0,2336.214,46.695
2400.0,380.0,1477.492,19.2118
3000.0,90.0,3073.766,26.0426
2400.0,520.0,1402.943,18.7144
2400.0,250.0,1721.562,19.2181
2400.0,130.0,2200.428,17.6617
3000.0,380.0,1443.279,34.5519
3000.0,90.0,2550.079,31.931
3000.0,170.0,999.516,41.3378
1800.0,250.0,542.805,13.8895
1800.0,170.0,638.511,13.942
3000.0,170.0,892.371,41.9994
3000.0,85.0,1796.181,38.1388
3500.0,25.0,1830.37,58.1371
1800.0,25.0,577.233,16.2707
2400.0,170.0,759.691,26.2058
2400.0,85.0,2312.736,17.609
1800.0,120.0,1445.019,10.3884
1800.0,85.0,763.099,14.6207
3000.0,520.0,1970.372,28.7251
1800.0,170.0,756.528,13.4578
2400.0,63.0,1250.173,25.6947
3500.0,25.0,3825.193,35.8644
1800.0,63.0,1458.958,11.5917
3500.0,107.0,3865.631,31.8396
3500.0,90.0,1769.662,55.1016
1800.0,250.0,1083.471,11.1519
1800.0,250.0,793.942,12.6217
3500.0,130.0,2379.076,47.1655
3000.0,25.0,2060.475,38.1921
3500.0,25.0,2366.404,53.3132
1800.0,120.0,1179.259,12.1619
3000.0,250.0,1812.332,33.8126
3000.0,90.0,618.523,44.728
1800.0,170.0,725.718,13.4705
3000.0,250.0,2818.09,24.718
3000.0,520.0,1817.919,29.6877
3500.0,250.0,2154.144,46.6247
3000.0,240.0,654.745,41.8726
2400.0,63.0,2171.874,19.0717
3000.0,85.0,1072.482,42.8416
3000.0,170.0,2667.544,27.274
3000.0,240.0,1681.227,35.3848
1800.0,240.0,1652.148,8.2095
3000.0,240.0,1338.696,37.5739
2400.0,120.0,1594.5,21.979
2400.0,380.0,2505.447,11.649
3500.0,170.0,3478.643,34.4881
3500.0,90.0,2237.66,49.9344
2400.0,90.0,735.091,27.423
1800.0,250.0,1424.43,9.3883
2400.0,240.0,1846.949,18.2184
3000.0,380.0,1104.878,37.1776
2400.0,170.0,2067.52,17.6153
2400.0,520.0,1623.181,17.3985
1800.0,520.0,1441.16,7.6127
2400.0,170.0,1150.306,23.8935
1800.0,380.0,1832.887,6.2751
3500.0,107.0,3550.059,34.5439
2400.0,107.0,1691.27,21.525
3000.0,120.0,2327.804,32.5138
3000.0,170.0,2389.205,30.3007
3000.0,250.0,766.714,42.02
3500.0,170.0,1880.32,50.9391
3500.0,105.0,1052.627,59.5982
3000.0,170.0,697.714,43.0286
2400.0,105.0,1584.814,22.3314
3000.0,130.0,1461.464,38.969
1800.0,130.0,737.767,13.8763
3000.0,170.0,2573.03,29.6332
3500.0,170.0,737.462,59.5592
3500.0,130.0,3375.153,36.6883
1800.0,63.0,1152.048,13.0553
2400.0,85.0,1924.947,20.2861
3500.0,85.0,3389.483,38.0846
1800.0,120.0,1623.343,9.6423
3000.0,25.0,3082.744,29.0004
2400.0,170.0,892.111,25.2224
2400.0,250.0,665.109,25.6866
3500.0,380.0,3158.191,32.9391
2400.0,380.0,1823.983,16.7959
3000.0,380.0,2526.297,25.1276
3500.0,380.0,3203.844,32.5823
1800.0,170.0,1333.831,10.7124
2400.0,85.0,2405.15,16.675
3500.0,107.0,923.914,61.1214
3500.0,105.0,3247.678,39.1372
3500.0,90.0,3854.624,32.3561
3000.0,520.0,2788.141,21.1841
3000.0,520.0,714.978,37.9794
2400.0,240.0,1647.784,19.2171
3500.0,250.0,1704.788,50.0987
1800.0,520.0,582.463,12.219
3000.0,105.0,1322.019,40.4734
1800.0,90.0,1399.123,11.4598
1800.0,25.0,1999.032,9.0672
1800.0,170.0,886.179,12.8296
3500.0,380.0,1982.791,45.542
3000.0,105.0,2708.253,28.6663
3500.0,25.0,1768.385,58.5051
1800.0,250.0,400.398,14.1429
2400.0,240.0,867.225,24.1157
1800.0,170.0,676.141,13.8099
3000.0,250.0,2591.761,26.5652
1800.0,85.0,1271.089,12.0655
3500.0,63.0,710.685,61.299
1800.0,63.0,521.037,15.7002
2400.0,120.0,1741.504,21.4355
3000.0,90.0,2796.032,28.4093
1800.0,130.0,1791.14,8.4582
1800.0,63.0,659.165,15.2842
3000.0,90.0,2285.675,33.7786
2400.0,170.0,1324.645,23.0511
1800.0,90.0,1555.354,10.2499
3000.0,120.0,2070.704,35.0307
3500.0,240.0,1906.389,48.8477
3000.0,105.0,1234.819,41.5959
2400.0,120.0,1041.887,25.7803
3500.0,380.0,1990.538,45.1882
3500.0,520.0,1110.174,50.2466
3000.0,90.0,1016.832,42.6371
3500.0,107.0,2355.815,49.7759
3500.0,120.0,3053.039,40.3897
3500.0,130.0,2381.608,47.7728
3000.0,63.0,3013.334,27.6526
3000.0,170.0,1427.396,38.6959
3500.0,63.0,2144.879,53.397
3000.0,90.0,3122.849,25.1875
2400.0,107.0,814.428,27.0333
3500.0,120.0,895.767,59.5708
1800.0,25.0,1299.777,13.1373
1800.0,240.0,917.5,12.1459
2400.0,25.0,1341.066,25.9792
3000.0,105.0,2127.45,34.3272
2400.0,120.0,2356.711,16.0158
1800.0,170.0,1243.109,11.1455
3500.0,85.0,3643.814,36.1645
1800.0,90.0,1393.42,11.4264
1800.0,380.0,1007.731,10.6078
3000.0,120.0,2709.608,28.6791
1800.0,120.0,1476.131,10.4544
2400.0,130.0,1560.773,22.3047
1800.0,240.0,857.762,12.5399
3000.0,240.0,3243.642,20.3352
1800.0,107.0,1902.844,8.0239
2400.0,520.0,2534.486,10.2775
2400.0,520.0,1130.095,20.6313
2400.0,520.0,2268.815,12.3149
3000.0,520.0,2222.588,26.0623
3500.0,25.0,2868.551,47.8199
2400.0,90.0,862.145,26.9297
3000.0,250.0,3335.396,19.0937
3500.0,250.0,2312.821,44.114
1800.0,63.0,972.857,13.9434
2400.0,107.0,2679.949,13.9664
1800.0,105.0,457.225,15.3042
2400.0,120.0,2575.99,14.4885
2400.0,90.0,605.489,28.114
3000.0,130.0,3013.569,25.2241
1800.0,130.0,553.812,14.9282
3500.0,105.0,1420.661,57.24
3000.0,240.0,2004.556,32.4868
1800.0,250.0,1175.119,10.6392
1800.0,520.0,1325.266,8.3066
1800.0,85.0,1408.546,11.3296
1800.0,90.0,1509.829,10.7572
3500.0,170.0,3886.069,29.0453
3500.0,130.0,2499.063,46.8103
3000.0,130.0,3340.041,21.8153
1800.0,25.0,447.822,16.2933
2400.0,130.0,540.34,27.8447
3000.0,380.0,2075.952,29.3897
3000.0,520.0,1977.862,28.9762
1800.0,85.0,1756.445,9.2097
3000.0,25.0,2847.568,31.755
2400.0,240.0,802.449,24.5816
2400.0,25.0,741.867,29.6267
1800.0,520.0,976.605,10.019
1800.0,380.0,513.949,13.2271
3500.0,380.0,1740.57,48.2138
3000.0,25.0,1144.489,44.3454
1800.0,25.0,532.284,16.5538
1800.0,170.0,984.258,12.5663
3000.0,105.0,3240.648,23.5412
1800.0,90.0,1216.012,12.244
3000.0,520.0,1300.713,33.6446
1800.0,25.0,1990.626,8.9701
2400.0,120.0,1355.153,24.0355
1800.0,107.0,1417.403,10.8912
2400.0,63.0,2352.217,17.6301
3500.0,63.0,3106.135,42.7373
2400.0,130.0,1286.531,23.859
2400.0,520.0,2454.85,10.904
3000.0,170.0,2016.923,33.963
3500.0,63.0,1480.671,59.1174
2400.0,105.0,2428.475,16.2571
2400.0,105.0,596.522,27.9704
3000.0,25.0,670.89,46.6105
3000.0,170.0,1389.097,38.8398
3000.0,130.0,1041.044,41.6523
2400.0,170.0,2120.119,16.9912
1800.0,130.0,1738.879,8.8146
2400.0,170.0,2497.942,14.2141
3500.0,520.0,3851.257,23.1538
3500.0,250.0,2914.175,38.4313
3000.0,120.0,2378.899,31.5294
2400.0,240.0,1944.794,17.2409
3500.0,240.0,2549.344,42.82
3500.0,90.0,2746.023,46.2014
3000.0,130.0,1214.122,40.9293
2400.0,90.0,1331.429,24.769
2400.0,85.0,1899.527,20.8374
1800.0,25.0,682.505,15.9597
2400.0,250.0,1244.881,22.2584
1800.0,130.0,1257.914,11.5925
1800.0,130.0,1513.944,10.0677
1800.0,520.0,529.076,12.2618
3500.0,520.0,792.119,52.8371
3500.0,380.0,2125.241,43.7492
3000.0,63.0,941.148,44.6492
2400.0,240.0,1431.35,20.9421
3000.0,90.0,2881.325,27.996
3000.0,105.0,2251.699,33.3331
1800.0,85.0,1616.937,10.1508
3500.0,130.0,3897.442,30.3532
3500.0,105.0,826.379,61.4706
3500.0,85.0,3373.735,38.6969
2400.0,250.0,1831.172,18.4034
3000.0,90.0,873.455,43.1898
3000.0,90.0,586.364,45.9241
2400.0,240.0,1949.769,17.4014
2400.0,90.0,1327.28,24.5502
1800.0,107.0,1142.043,12.3203
3500.0,25.0,1259.758,60.572
2400.0,85.0,1273.367,25.0139
2400.0,25.0,1842.743,23.2234
3500.0,107.0,3660.85,34.3269
2400.0,250.0,2161.204,15.8716
3500.0,130.0,948.423,59.7926
3000.0,63.0,2269.04,35.4331
1800.0,107.0,1791.625,8.7164
2400.0,105.0,1646.512,22.3557
3500.0,250.0,3498.798,32.3075
2400.0,250.0,1458.764,20.793
1800.0,107.0,649.386,14.7502
3000.0,130.0,2740.658,28.428
2400.0,63.0,2460.569,17.003
1800.0,63.0,1000.309,14.0173
1800.0,520.0,1013.848,10.0465
2400.0,250.0,2287.151,14.8546
3000.0,107.0,2433.233,31.6091
2400.0,105.0,2307.545,16.8142
1800.0,170.0,375.353,14.8719
1800.0,85.0,1863.109,8.5317
2400.0,520.0,2408.184,11.3903
1800.0,130.0,1106.145,12.2468
2400.0,240.0,2324.659,14.5789
1800.0,120.0,1349.909,11.148
3000.0,107.0,1712.921,38.1174
3500.0,520.0,3730.52,24.6073
2400.0,170.0,1372.733,22.5961
3000.0,130.0,3128.741,23.7284
3500.0,250.0,3311.667,33.5636
3000.0,63.0,1762.488,39.3259
2400.0,240.0,1609.07,19.8656
1800.0,63.0,745.317,14.9285
1800.0,170.0,694.758,13.8836
1800.0,520.0,608.065,12.1973
3500.0,63.0,3631.624,36.3481
2400.0,63.0,2021.347,20.0669
3500.0,130.0,2839.052,42.7063
2400.0,240.0,2071.399,16.6367
2400.0,380.0,1409.584,19.3673
3000.0,130.0,1674.339,37.7999
1800.0,240.0,815.492,12.577
2400.0,380.0,1572.47,18.6817
1800.0,25.0,1481.235,12.1354
3500.0,250.0,1389.612,52.5734
1800.0,120.0,412.852,15.3947
2400.0,63.0,2388.064,17.4489
2400.0,63.0,1124.911,25.9655
2400.0,240.0,2571.825,12.6301
3000.0,105.0,2883.187,27.5829
3500.0,120.0,2501.305,46.7729
1800.0,85.0,1299.915,12.1463
2400.0,130.0,2310.774,16.1535
3500.0,63.0,1289.772,58.5037
3500.0,520.0,1101.323,51.2963
1800.0,120.0,1738.329,8.8516
1800.0,63.0,1541.869,10.9144
1800.0,130.0,514.38,14.9118
3000.0,105.0,1007.328,42.3134
1800.0,240.0,2011.687,6.0879
2400.0,63.0,645.177,29.0852
3000.0,85.0,2791.604,29.5573
3500.0,240.0,1828.1,49.4221
1800.0,63.0,1852.92,9.0683
3500.0,380.0,3405.924,30.2508
1800.0,63.0,1921.955,8.7543
3500.0,170.0,1036.363,59.0507
3000.0,170.0,1324.283,39.6698
3500.0,130.0,1912.789,52.1432
3000.0,170.0,1438.41,38.0067
3000.0,85.0,883.654,44.9033
3500.0,120.0,3324.641,38.0246
2400.0,120.0,2271.963,17.3348
3000.0,63.0,2995.113,27.9554
2400.0,85.0,957.062,27.0329
3000.0,25.0,643.331,46.7286
3500.0,85.0,1204.632,60.0942
1800.0,63.0,1364.884,12.0172
3500.0,250.0,3408.46,32.9481
3500.0,130.0,1055.38,58.7182
2400.0,85.0,1823.638,21.4684
3000.0,120.0,1003.835,42.2362
3000.0,107.0,2005.123,35.6172
3500.0,520.0,3208.307,30.4832
1800.0,25.0,1155.902,13.9115
2400.0,25.0,2212.386,20.2107
2400.0,85.0,2032.009,19.5535
1800.0,120.0,1240.835,11.7418
1800.0,170.0,466.084,14.6662
3500.0,130.0,2593.172,45.2701
3500.0,170.0,1927.373,51.5705
1800.0,170.0,1041.217,12.1216
3000.0,380.0,1623.171,33.0473
1800.0,90.0,758.654,14.8097
1800.0,63.0,655.043,15.2821
2400.0,63.0,2597.412,15.3609
2400.0,130.0,2175.955,17.2152
1800.0,105.0,1407.117,10.9377
3000.0,130.0,2308.067,31.7621
3000.0,520.0,896.736,36.9794
3000.0,90.0,3110.624,24.9225
3000.0,240.0,763.828,40.8444
1800.0,240.0,795.574,12.8842
2400.0,250.0,2066.79,16.3886
1800.0,170.0,372.729,14.9433
2400.0,85.0,1674.091,22.6704
3000.0,63.0,2679.19,30.8272
1800.0,380.0,1250.832,9.3832
3500.0,240.0,1903.108,48.6419
1800.0,120.0,1796.644,8.5401
3000.0,25.0,1486.09,42.5222
1800.0,90.0,365.751,15.649
2400.0,240.0,977.138,24.3514
1800.0,380.0,618.589,12.7714
3500.0,105.0,1619.921,56.4423
2400.0,25.0,700.571,29.7753
3000.0,90.0,1806.256,38.2014
1800.0,85.0,1016.795,13.3139
1800.0,25.0,822.851,15.1894
2400.0,107.0,2006.451,19.0806
1800.0,105.0,1474.182,10.4835
2400.0,85.0,2166.273,18.9609
1800.0,63.0,1115.139,13.1702
1800.0,25.0,1957.484,9.3553
1800.0,380.0,654.173,12.4568
3500.0,85.0,836.195,61.0382
3500.0,520.0,1372.903,48.9413
3000.0,130.0,2450.203,31.323
3000.0,120.0,1702.881,38.3948
1800.0,90.0,1130.1,12.8508
3500.0,250.0,2531.83,42.032
3500.0,63.0,2863.953,45.9047
1800.0,107.0,1137.479,12.5056
3500.0,107.0,3729.306,33.5294
1800.0,130.0,1796.313,8.3781
2400.0,120.0,1232.727,23.9021
2400.0,250.0,917.745,24.0389
2400.0,120.0,1597.029,22.3748
2400.0,85.0,2292.431,17.466
2400.0,90.0,1505.246,23.1299
3500.0,120.0,3697.444,34.0104
2400.0,63.0,1108.536,26.5425
3500.0,240.0,3210.837,35.1403
3000.0,25.0,1156.935,44.6416
3500.0,240.0,2966.069,38.0422
2400.0,25.0,2445.265,18.4233
3500.0,90.0,1599.471,56.2415
2400.0,120.0,1755.286,20.6182
3500.0,250.0,3318.882,34.1908
3000.0,250.0,1891.65,33.3414
3500.0,85.0,976.305,61.1293
3000.0,170.0,3079.73,23.8122
3500.0,25.0,1392.256,60.4501
1800.0,63.0,1428.253,11.83
1800.0,107.0,1843.368,8.3704
1800.0,120.0,721.843,14.1151
1800.0,85.0,809.79,14.1298
2400.0,380.0,1380.265,19.9211
3000.0,250.0,1709.832,34.2894
3000.0,85.0,2341.074,33.84
3000.0,240.0,2683.15,25.947
3000.0,85.0,1228.152,41.9653
1800.0,90.0,458.32,15.4648
3500.0,25.0,930.424,62.7625
3000.0,130.0,1943.557,35.8664
1800.0,25.0,1179.0,13.9049
3000.0,170.0,1442.89,38.2776
3000.0,105.0,2789.694,27.8252
1800.0,85.0,1584.813,10.3994
3000.0,25.0,2028.608,38.8262
3500.0,120.0,3251.141,38.7071
3500.0,120.0,2039.338,51.0286
1800.0,105.0,1357.359,11.3442
3000.0,380.0,641.757,40.1205
2400.0,25.0,1858.196,22.8912
3500.0,380.0,1258.941,52.2851
3000.0,107.0,1032.008,42.6622
1800.0,250.0,571.788,13.7177
2400.0,120.0,1357.771,23.5347
3500.0,90.0,2591.047,46.9073
3000.0,130.0,3032.087,25.3729
3000.0,63.0,693.068,45.9118
1800.0,25.0,497.195,16.5185
2400.0,105.0,1313.607,24.4559
3000.0,107.0,1173.563,41.9714
3000.0,170.0,1762.622,35.7625
3500.0,170.0,2025.886,49.9501
1800.0,120.0,597.564,14.4555
2400.0,130.0,1455.219,22.4871
3500.0,105.0,1582.467,56.8761
2400.0,25.0,1209.03,26.9826
3000.0,105.0,1856.109,36.547
2400.0,240.0,2219.94,15.274
2400.0,380.0,2598.737,10.9669
3500.0,63.0,1179.259,60.3691
2400.0,90.0,1488.582,23.3603
3500.0,240.0,1323.243,53.7199
1800.0,105.0,747.44,14.2522
2400.0,105.0,970.355,26.2304
3000.0,250.0,782.656,41.4507
3500.0,240.0,821.288,56.6144
2400.0,107.0,2244.231,17.5653
3000.0,170.0,2223.204,32.2352
1800.0,107.0,1247.292,11.7789
3000.0,63.0,1140.62,43.7363
3500.0,105.0,2484.948,47.7447
3000.0,130.0,1662.058,37.4949
3500.0,120.0,3485.764,35.6075
2400.0,130.0,1972.473,19.3784
3000.0,120.0,2804.791,27.4875
3500.0,63.0,2038.703,54.1153
1800.0,380.0,1744.653,6.7995
3500.0,107.0,2699.648,45.414
3000.0,130.0,777.127,43.633
3000.0,130.0,1470.536,38.9152
3000.0,250.0,1343.759,37.0178
2400.0,130.0,1396.874,23.4784
3500.0,520.0,3558.057,26.3013
3500.0,105.0,1846.248,53.7031
3000.0,170.0,2670.809,27.3155
3000.0,240.0,2172.111,30.6645
2400.0,380.0,1618.5,18.0379
3000.0,250.0,2085.484,31.8732
3000.0,107.0,2352.76,32.7309
2400.0,90.0,2508.126,15.619
3000.0,250.0,1406.17,37.0695
2400.0,120.0,2092.784,18.0383
3500.0,107.0,1866.217,52.9396
3500.0,107.0,2043.72,52.7233
1800.0,120.0,1699.324,9.1078
2400.0,170.0,2091.676,17.3843
1800.0,170.0,1543.974,9.5606
3000.0,520.0,2681.847,22.024
3500.0,90.0,3777.048,33.1251
3500.0,107.0,3318.658,37.5387
2400.0,63.0,563.75,28.6384
1800.0,107.0,1979.975,7.5999
3500.0,90.0,2602.015,46.7868
3500.0,90.0,1865.699,54.7325
1800.0,250.0,1415.425,9.4379
3000.0,130.0,2290.294,32.5899
1800.0,107.0,1801.247,8.7723
1800.0,170.0,1444.705,10.1251
3000.0,63.0,3158.89,25.5329
3000.0,520.0,1754.617,30.1232
3500.0,105.0,2262.782,50.2056
2400.0,85.0,980.653,26.4357
3500.0,120.0,2454.768,47.4491
3500.0,25.0,1010.058,62.7631
3500.0,63.0,3575.629,37.0457
3500.0,85.0,1625.038,55.9728
3500.0,90.0,2609.571,45.8778
1800.0,240.0,669.24,13.1743
1800.0,85.0,1696.165,9.6119
2400.0,120.0,1484.418,22.8855
2400.0,107.0,2101.409,18.7243
2400.0,90.0,1818.333,20.8855
1800.0,90.0,1314.995,11.6759
3000.0,250.0,905.718,40.3416
3500.0,85.0,3701.489,35.0114
2400.0,63.0,1927.528,21.1183
1800.0,120.0,1008.977,12.8483
2400.0,63.0,606.297,29.272
3000.0,63.0,1219.853,42.478
1800.0,90.0,1135.924,12.8659
1800.0,85.0,1575.127,10.5537
1800.0,107.0,1262.587,11.6615
2400.0,105.0,2241.558,17.5595
3000.0,105.0,742.633,44.8717
3000.0,25.0,1688.495,41.2759
3500.0,250.0,3086.21,36.6885
1800.0,120.0,1192.947,12.0443
2400.0,85.0,904.052,26.7851
1800.0,25.0,1432.984,12.5109
2400.0,250.0,763.513,25.3679
2400.0,130.0,2604.835,13.7622
